CompanyName,country,latitude,longitude,Description,macrospecies,Address,AlgaeColor
Rocade des ChÃªnes,Spain,42.235033,-8.701249,Harvesting - Manual,"Brown seaweed, Codium sp., Ulva sp., Undaria sp.","16. Rocade des ChÃªnes, Prat Per, CitÃ© de Beauregard, PlouÃ©nan, Morlaix, FinistÃ¨re, Bretagne, France mÃ©tropolitaine, 29420, France",
Bilien,Spain,43.334226,-4.054553,Aquaculture - Land-based,Ulva sp.,"17. Bilien, France mÃ©tropolitaine, 29980, France",
Voies de DÃ©part,Spain,43.173572,-8.476032,Harvesting - Manual,"Chondrus crispus, Codium sp., Gigartina pistillata, Himanthalia elongata, Laminaria ochroleuca, Mastocarpus stellatus, Porphyra sp., Saccharina latissima, Ulva sp., Undaria sp.","18. Voies de DÃ©part, Espace portuaire Alexis Gourvennec, Port de Bloscon, Roscoff, Morlaix, FinistÃ¨re, Bretagne, France mÃ©tropolitaine, 29680, France","brown algae, red algae"
Rue Ollivier Henri,Spain,36.272304,-5.963614,Harvesting - Manual,"Codium sp., Gracilaria sp., Salicornia sp., Ulva sp.","19. Rue Ollivier Henri, Les Capucins, Roscoff, Morlaix, FinistÃ¨re, Bretagne, France mÃ©tropolitaine, 29680, France",
Rue de lÂ’Herminette,Spain,42.872461,-8.563125,Harvesting - n/a,"Ascophyllum nodosum, Bifurcaria bifurcata, Fucus vesiculosus , Saccharina latissima","20. Rue de l'Herminette, La BigottiÃ¨re, Saint-MÃ©loir-des-Ondes, Saint-Malo, Ille-et-Vilaine, Bretagne, France mÃ©tropolitaine, 35350, France","green algae, brown algae"
Rue du Moulin Ã  Mer,Spain,43.513868,-5.205583,Harvesting - Manual,Undaria sp.,"21. Rue du Moulin Ã  Mer, Traou bian, LÃ©zardrieux, Lannion, CÃ´tes-d'Armor, Bretagne, France mÃ©tropolitaine, 22740, France",
Chemin des Lavoirs,Spain,51.191309,2.679325,Harvesting - n/a,"Gelidium sesquipedale, Himanthalia sp., Laminaria sp., Palmaria palmata, Porphyra sp., Undaria sp.","22. Chemin des Lavoirs, Pen Liorzou, Lampaul-PloudalmÃ©zeau, Brest, FinistÃ¨re, Bretagne, France mÃ©tropolitaine, 29830, France",red algae
Laboratoire dÂ’Armor,Spain,42.534107,-8.94865,Harvesting - Manual,"Himanthalia elongata, Undaria sp.","23. Laboratoire d'Armor, Rue de Pen Lan, Pen Laneros, Pleubian, Lannion, CÃ´tes-d'Armor, Bretagne, France mÃ©tropolitaine, 22610, France",brown algae
Chemin du Moulin du Nord,Spain,43.513415,-5.263589,Aquaculture - At sea,Saccharina latissima,"24. Chemin du Moulin du Nord, ÃŽle-MolÃ¨ne, Brest, FinistÃ¨re, Bretagne, France mÃ©tropolitaine, 29259, France",
Route de la Mer,Spain,37.284974,-7.172719,Aquaculture - At sea,"Gracilaria sp., Ulva sp.","25. Route de la Mer, Salin-de-Giraud, Arles, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur, France mÃ©tropolitaine, 13200, France",
Goemar,Spain,42.526569,-8.776078,Harvesting - Manual,"Codium sp., Himanthalia elongata, Laminaria sp., Ulva sp., Undaria sp.","26. Goemar, Avenue Atalante, ChÃ¢teau-Malo, Saint-Jouan-des-GuÃ©rets, Saint-Malo, Ille-et-Vilaine, Bretagne, France mÃ©tropolitaine, 35430, France",brown algae
Chemin de Toull al Lann,Spain,43.380115,-8.33248,Aquaculture - At sea,Saccharina latissima,"27. Chemin de Toull al Lann, Golgon, Crec'h ar Gant, TrÃ©gastel, Lannion, CÃ´tes-d'Armor, Bretagne, France mÃ©tropolitaine, 22730, France",
Chemin de Toull al Lann,Spain,43.28149,-8.208406,Harvesting - Manual,"Fucus sp., Gelidium sp., Gigartina sp., Laminaria sp.","28. Chemin de Toull al Lann, Golgon, Crec'h ar Gant, TrÃ©gastel, Lannion, CÃ´tes-d'Armor, Bretagne, France mÃ©tropolitaine, 22730, France",
Kerazan Vihan,Spain,38.844784,-0.100217,Harvesting - n/a,Ascophyllum nodosum,"29. Kerazan Vihan, Corn Mikel Bras, Kerazan, Lilia, Plouguerneau, Brest, FinistÃ¨re, Bretagne, France mÃ©tropolitaine, 29880, France","green algae, brown algae"
Kerazan Vihan,Spain,43.512244,-5.723382,Harvesting - n/a,"Laminaria ochroleuca, Palmaria palmata, Saccharina latissima","30. Kerazan Vihan, Corn Mikel Bras, Kerazan, Lilia, Plouguerneau, Brest, FinistÃ¨re, Bretagne, France mÃ©tropolitaine, 29880, France",brown algae
An BÃ³thar MÃ³r,Spain,42.725656,-8.972732,Harvesting - Manual,Himanthalia sp.,"31. An BÃ³thar MÃ³r, Cill Ã‰inne, Ãrainn, Conamara Municipal District, County Galway, Connacht, H91 DP95, Ã‰ire / Ireland",
Teagasc Moorepark,Spain,42.775088,-9.056212,Harvesting - Manual,"Chondrus crispus, Dilsea carnosa, Fucus spiralis, Gigartina pistillata, Grateloupia turuturu, Himanthalia elongata, Laminaria ochroleuca, Mastocarpus stellatus, Osmundea pinnatifida, Porphyra sp.","32. Teagasc Moorepark, R639, Kilworth, The Municipal District of Fermoy, County Cork, Munster, P61 C996, Ã‰ire / Ireland","red algae, brown algae"
Ballymoon Industrial Estate,Spain,43.173155,-8.475667,Aquaculture - n/a,"Gracilariopsis longissima, Saccharina latissima","33. Ballymoon Industrial Estate, Cashlings Bridge, Kilcar ED, Donegal Municipal District, County Donegal, Ulster, F94 A3NR, Ã‰ire / Ireland",red algae
Forge Road,Spain,37.204227,-7.324172,Aquaculture - n/a,"Gracilariopsis longissima, Ulva sp.","34. Forge Road, Castlegregory ED, Kenmare Municipal District, County Kerry, Munster, V92 A09W, Ã‰ire / Ireland",red algae
Burma Road,Spain,38.224463,-0.5217619,Aquaculture - Land-based,Ulva sp.,"35. Burma Road, Carrowbunnaun, Knockaree ED, Sligo Municipal Borough District, County Sligo, Connacht, F91 VX08, Ã‰ire / Ireland",
Ã‰ire / Ireland,Faroe Islands,62.303,-6.9267,Aquaculture - At sea,"Alaria esculenta, Laminaria digitata, Palmaria palmata, Saccharina latissima",36. Ã‰ire / Ireland,
The Promenade,Faroe Islands,62.058182,-6.835578,Harvesting - Manual,"Alaria esculenta, Himanthalia sp., Laminaria digitata, Palmaria palmata, Porphyra umbilicalis, Saccharina latissima, Vertebrata lanosa","37. The Promenade, Tramore, Waterford City Metropolitan District, County Waterford, Munster, X91 HF44, Ã‰ire / Ireland",
The Masterlift Group,Faroe Islands,62.058182,-6.835578,Aquaculture - At sea,"Alaria esculenta, Himanthalia sp., Laminaria digitata, Palmaria palmata, Porphyra umbilicalis, Saccharina latissima, Vertebrata lanosa","38. The Masterlift Group, Grants Road, Greenogue Business Park, Newcastle DED 1986, South Dublin, County Dublin, Leinster, D24 NX38, Ã‰ire / Ireland",
Curraghbinny Road,France,48.619996,-4.530531,Harvesting - n/a,"Ascophyllum nodosum, Brown seaweed, Chondrus crispus, Fucus sp., Laminaria digitata, Ulva lactuca","39. Curraghbinny Road, Carrigaline ED, Municipal District of Carrigaline, County Cork, Munster, P43 AY66, Ã‰ire / Ireland","green algae, brown algae"
Conair DhÃºlra Cois Cladaigh Doire FhÃ­onÃ¡in / Derrynane Seashore Nature Trail,France,48.629066,-3.994812,Harvesting - Mechanical,,"40. Conair DhÃºlra Cois Cladaigh Doire FhÃ­onÃ¡in / Derrynane Seashore Nature Trail, Darrynane ED, Kenmare Municipal District, County Kerry, Munster, V93 DD83, Ã‰ire / Ireland",
Aiden Street,France,47.824438,-4.1322,Aquaculture - At sea,Laminaria sp.,"41. Aiden Street, Kiltamagh ED, Claremorris-Swinford Municipal District, County Mayo, Connacht, F12 CH74, Ã‰ire / Ireland",
Main Street,France,48.725526,-3.983018,Harvesting - Manual,"Laminaria digitata, Palmaria palmata, Porphyra sp., Ulva lactuca, Undaria sp.","42. Main Street, Ballydehob ED, West Cork, County Cork, Munster, P81 XF34, Ã‰ire / Ireland",
ÃlftamÃ½rarskÃ³li,France,48.639048,-2.974023,Harvesting - Manual,"Alaria sp., Chondrus crispus, Fucus sp., Himanthalia elongata, Lithothamnium calcareum, Palmaria palmata, Porphyra sp., Saccharina latissima, Ulva sp., Undaria sp.","43. ÃlftamÃ½rarskÃ³li, 79, ÃlftamÃ½ri, HÃ¡aleiti, HÃ¡aleiti og BÃºstaÃ°ir, ReykjavÃ­kurborg, HÃ¶fuÃ°borgarsvÃ¦Ã°iÃ°, 108, Ãsland",brown algae
MÃ¡vaflÃ¶t,France,48.460317,-5.099219,Harvesting - Manual,"Brown seaweed, Red seaweed","44. MÃ¡vaflÃ¶t, ReykhÃ³lar, ReykhÃ³lahreppur, VestfirÃ°ir, 380, Ãsland",
Zuider Haaks,France,48.460323,-5.091803,Harvesting - Manual,"Brown seaweed, Red seaweed","45. Zuider Haaks, 't Horntje, Den Hoorn, Texel, Noord-Holland, Nederland, 1797 SH, Nederland",
Haarlemmerstraatweg,France,48.720048,-3.965162,Harvesting - Manual,"Himanthalia elongata, Palmaria palmata, Porphyra sp., Saccharina latissima, Ulva sp., Undaria sp.","46. Haarlemmerstraatweg, Halfweg, Haarlemmermeer, Noord-Holland, Nederland, 1161 NJ, Nederland",brown algae
Jacobahaven,France,48.723102,-3.984566,Harvesting - Manual,"Fucus vesiculosus , Himanthalia elongata, Palmaria palmata, Porphyra sp., Saccharina latissima, Ulva lactuca, Undaria sp.","47. Jacobahaven, De Banjaard, Kamperland, Noord-Beveland, Zeeland, Nederland, 4493 ML, Nederland",brown algae
Algea,France,47.961368,-3.850556,Harvesting - Manual,"Himanthalia elongata, Palmaria palmata, Porphyra umbilicalis, Saccharina latissima, Salicornia sp., Ulva sp., Undaria sp.","48. Algea, Omagata, Vestbase, Nordlandet, Kristiansund, MÃ¸re og Romsdal, 6516, Norge",brown algae
S12 Galleri og Verksted,France,48.638667,-1.913806,Aquaculture - At sea,"Alaria esculenta, Saccharina latissima, Undaria sp.","49. S12 Galleri og Verksted, Bontelabo, Bergenhus, Skuteviken, Bergenhus, Bergen, Vestland, 5004, Norge",
FrÃ¸ya,France,48.470005,-4.325661,Harvesting - Manual,"Fucus vesiculosus , Himanthalia elongata, Palmaria palmata, Porphyra sp., Ulva sp., Undaria sp.","50. FrÃ¸ya, TrÃ¸ndelag, Norge",brown algae
Folkestien Hove,France,47.797175,-4.212272,Harvesting - Manual,"Brown seaweed, Himanthalia elongata, Palmaria palmata, Porphyra sp., Ulva sp., Undaria sp.","51. Folkestien Hove, Hove, Arendal, Agder, 4818, Norge",brown algae
Skrova,France,48.048632,-2.691488,Harvesting - Mechanical,"Solieria sp., Ulva sp.","52. Skrova, VÃ¥gan, Nordland - NordlÃ¡ndda, 8320, Norge",
Nordfoldveien,France,48.802927,-3.102625,Harvesting - Mechanical,"Alaria esculenta, Saccharina latissima, Undaria sp.","53. Nordfoldveien, Ã˜vergÃ¥rden, Holmen, Nordfold, Steigen, Nordland - NordlÃ¡ndda, 8286, Norge",
Kopholmen,France,48.566173,-4.654513,Harvesting - Mechanical,"Chondrus crispus, Fucus vesiculosus , Laminaria digitata, Lithothamnium calcareum, Palmaria palmata, Ulva lactuca, Undaria sp.","54. Kopholmen, Osnes, Vik, KarmÃ¸y, Rogaland, 4260, Norge",
Aure,France,48.858389,-3.07775,Harvesting - Manual,"Ascophyllum nodosum, Fucus sp., Palmaria sp., Porphyra sp., Ulva sp., Undaria sp.","55. Aure, MÃ¸re og Romsdal, Norge","green algae, brown algae"
LÃ¥tret,France,48.552661,-4.489669,Harvesting - Mechanical,"Laminaria digitata, Laminaria hyperborea","56. LÃ¥tret, Hammerfest, Finnmark, 9651, Norge",brown algae
Via das Lavegadas,France,48.399567,-4.963494,Harvesting - Manual,"Ascophyllum nodosum, Asparagopsis armata, Chondrus crispus, Corallina sp., Fucus sp., Himanthalia sp., Laminaria sp., Palmaria sp., Pelvetia sp., Ulva sp.","57. Via das Lavegadas, Bairro dos Pescadores, Ãlhavo (SÃ£o Salvador), Ãlhavo, Aveiro, 3830-198, Portugal","green algae, brown algae, red algae"
PoÃ§a da Rainha (Feteira),France,43.406017,4.755429,Aquaculture - Land-based,Ulva rigida,"58. PoÃ§a da Rainha (Feteira), Estrada Regional da Laginha, Lajinha, Feteira, Horta, AÃ§ores, 9900-371, Portugal",green algae
Ponta de SÃ£o Jorge,France,48.611231,-1.972599,Harvesting - Manual,Fucus sp.,"59. Ponta de SÃ£o Jorge, Porto Martins, Praia da VitÃ³ria, AÃ§ores, 9760-129, Portugal",
Caminho Rural da Carreira de Tiro,France,48.461143,-4.357041,Harvesting - Manual,"Laminaria digitata, Palmaria palmata","60. Caminho Rural da Carreira de Tiro, Flamengos, Horta, AÃ§ores, 9900-404, Portugal",
Rua das AcÃ¡cias,France,48.439016,-4.282666,Harvesting - Manual,"Chondrus crispus, Fucus sp., Laminaria sp., Mastocarpus stellatus, Palmaria palmata, Ulva sp.","61. Rua das AcÃ¡cias, Parque Industrial da Figueira da Foz, SÃ£o Pedro, Figueira da Foz, Coimbra, 3090-380, Portugal",red algae
Rua da RepÃºblica,France,48.55689,-4.694778,Harvesting - Manual,"Alaria sp., Himanthalia elongata, Palmaria palmata, Porphyra sp., Saccharina latissima, Ulva sp., Undaria sp.","62. Rua da Republica, Casal das Hortas, SÃ£o Martinho do Porto, AlcobaÃ§a, Leiria, 2460-873, Portugal",brown algae
Ica NÃ¤ra,France,48.527799,-4.747696,Harvesting - Manual,"Himanthalia elongata, Palmaria palmata, Porphyra sp., Saccharina latissima, Ulva sp.","63. Ica NÃ¤ra, 10, LÃ¤ngbrotorg, Norr, Ã–rebro, Ã–rebro kommun, Ã–rebro lÃ¤n, 703 66, Sverige",brown algae
LovÃ©ncentret TjÃ¤rnÃ¶,France,48.720691,-3.968565,Harvesting - Manual,"Himanthalia elongata, Palmaria palmata, Porphyra sp., Saccharina latissima, Ulva sp., Undaria sp.","64. LovÃ©ncentret TjÃ¤rnÃ¶, HÃ¤ttebÃ¤cksvÃ¤gen, Klockarkassen, HÃ¤ttebÃ¤ck, StrÃ¶mstads kommun, VÃ¤stra GÃ¶talands lÃ¤n, 452 96, Sverige",brown algae
Bute Backpackers Hotel,France,46.948422,-2.049976,Aquaculture - n/a,,"65. Bute Backpackers Hotel, 36, Argyle Street, Rothesay, Argyll and Bute, Alba / Scotland, PA20 0AX, United Kingdom",
West Shore Road,France,48.818012,-3.4967288,Harvesting - Mechanical,"Ascophyllum nodosum, Chondrus crispus, Codium tomentosum, Fucus serratus, Fucus vesiculosus , Himanthalia elongata, Laminaria digitata, Laminaria hyperborea, Palmaria palmata, Saccharina latissima, Ulva intestinalis, Ulva lactuca, Undaria pinnatifida","66. West Shore Road, West Granton, West Pilton/West Granton, City of Edinburgh, Alba / Scotland, EH5 1QF, United Kingdom","green algae, brown algae"
Cytocell,France,48.818012,-3.4967288,Aquaculture - At sea,"Ascophyllum nodosum, Chondrus crispus, Codium tomentosum, Fucus serratus, Fucus vesiculosus , Himanthalia elongata, Laminaria digitata, Laminaria hyperborea, Palmaria palmata, Saccharina latissima, Ulva intestinalis, Ulva lactuca, Undaria pinnatifida","67. Cytocell, 3-4, Newmarket Road, Barnwell, Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, CB5 8PB, United Kingdom","green algae, brown algae"
HillmanÂ’s Fancy,France,48.836385,-3.0140507,Harvesting - Mechanical,"Ascophyllum nodosum, Chondrus crispus, Codium tomentosum, Fucus serratus, Fucus vesiculosus , Himanthalia elongata, Laminaria digitata, Laminaria hyperborea, Palmaria palmata, Saccharina latissima, Ulva intestinalis, Ulva lactuca, Undaria pinnatifida","68. Hillman's Fancy, Ballycastle Road Industrial Estate, Coleraine, County Londonderry, Northern Ireland / Tuaisceart Ã‰ireann, BT51 1LZ, United Kingdom","green algae, brown algae"
Gweek Drive,France,48.836385,-3.0140507,Aquaculture - At sea,"Ascophyllum nodosum, Chondrus crispus, Codium tomentosum, Fucus serratus, Fucus vesiculosus , Himanthalia elongata, Laminaria digitata, Laminaria hyperborea, Palmaria palmata, Saccharina latissima, Ulva intestinalis, Ulva lactuca, Undaria pinnatifida","69. Gweek Drive, Gweek, Cornwall, England, TR12 6UF, United Kingdom","green algae, brown algae"
Averon Way,France,48.6118732,-4.5595401,Aquaculture - At sea,"Alaria esculenta, Calliblepharis jubata, Palmaria palmata, Saccharina latissima, Ulva sp., Ulvella lens","70. Averon Way, Alness, Highland, Alba / Scotland, IV17 0PF, United Kingdom",
T OÂ’Sullivan & Co.,France,48.6120718,-4.5604843,Aquaculture - At sea,"Alaria esculenta, Calliblepharis jubata, Palmaria palmata, Saccharina latissima, Ulva sp., Ulvella lens","71. T O'Sullivan & Co., 230, Park View, Monkseaton, Whitley Bay, North Tyneside, North East, England, NE26 3QW, United Kingdom",
Rhuvaal Road,Ireland,54.690104,-8.759238,Harvesting - Manual,"Alaria esculenta, Chondrus crispus, Himanthalia elongata, Laminaria digitata, Palmaria palmata, Porphyra umbilicalis, Ulva sp.","72. Rhuvaal Road, Glenshellach, Oban, Argyll and Bute, Alba / Scotland, PA34 4BT, United Kingdom",brown algae
Ayr Calor Centre,Ireland,53.446381,-9.044547,Harvesting - Manual,,"73. Ayr Calor Centre, 18, Boundary Road, Heathfield, Ayr, South Ayrshire, Alba / Scotland, KA8 9SW, United Kingdom",
HillmanÂ’s Fancy,Ireland,53.320667,-9.7335,Harvesting - Manual,Ascophyllum nodosum,"74. Hillman's Fancy, Ballycastle Road Industrial Estate, Coleraine, County Londonderry, Northern Ireland / Tuaisceart Ã‰ireann, BT51 1LZ, United Kingdom","green algae, brown algae"
An BÃƒÂ³thar MÃƒÂ³r,Ireland,53.123292,-9.670389,Harvesting - Manual,Brown seaweed,o3-mini-high,
Teagasc Moorepark,Ireland,52.162553,-8.26161,Harvesting - Manual,"Ascophyllum nodosum, Fucus vesiculosus","Teagasc Moorepark, R639, Kilworth, The Municipal District of Fermoy, County Cork, Munster, P61 C996, ÃƒÂ‰ire / Ireland","green algae, brown algae"
,Ireland,53.619851,-8.917645,Harvesting - n/a,"Brown seaweed, Green seaweed, Red seaweed","Milltown ED, Tuam Municipal District, County Galway, Connacht, Ã‰ire / Ireland",
Ballymoon Industrial Estate,Ireland,54.657458,-8.575345,Harvesting - n/a,Ascophyllum nodosum,"Ballymoon Industrial Estate, Cashlings Bridge, Kilcar ED, Donegal Municipal District, County Donegal, Ulster, F94 A3NR, ÃƒÂ‰ire / Ireland","green algae, brown algae"
,Ireland,53.2733561,-9.3044307,Aquaculture - At sea,"Fucus serratus, Laminaria sp.","An SpidÃ©al, Conamara Municipal District, County Galway, Connacht, H91 CH01, Ã‰ire / Ireland",brown algae
,Ireland,53.336218,-9.182298,Harvesting - Manual,,"L1320, Maigh Cuilinn, Conamara Municipal District, County Galway, Connacht, H91 PXK4, Ã‰ire / Ireland",
,Ireland,53.271216,-9.071649,Harvesting - n/a,,"26, Maunsell's Road, Taylor's Hill, Cathair na Gaillimhe, County Galway, Connacht, H91 R26K, Ã‰ire / Ireland",
Forge Road,Ireland,52.252965,-10.025443,Aquaculture - At sea,"Alaria sp., Asparagopsis sp., Falkenbergia sp., Gracilaria sp., Ulva sp.","Forge Road, Castlegregory ED, Kenmare Municipal District, County Kerry, Munster, V92 A09W, ÃƒÂ‰ire / Ireland",
,Ireland,53.801428,-9.528173,Aquaculture - At sea,"Alaria sp., Asparagopsis sp., Falkenbergia sp., Gracilaria sp., Ulva sp.","New Road, Westport Harbour, Westport Urban ED, Westport-Belmullet Municipal District, County Mayo, Connacht, F28 RD39, Ã‰ire / Ireland",
,Ireland,55.176359,-7.801055,Aquaculture - At sea,"Alaria sp., Asparagopsis sp., Falkenbergia sp., Gracilaria sp., Ulva sp.","R248, Carrickart ED, Letterkenny Municipal District, County Donegal, Ulster, F92 EA33, Ã‰ire / Ireland",
Burma Road,Ireland,54.270005,-8.598941,Harvesting - Manual,"Fucus serratus, Fucus vesiculosus , Himanthalia elongata, Laminaria digitata","Burma Road, Carrowbunnaun, Knockaree ED, Sligo Municipal Borough District, County Sligo, Connacht, F91 VX08, ÃƒÂ‰ire / Ireland",brown algae
,Ireland,52.846734,-9.439759,Harvesting - Manual,"Laminaria digitata, Palmaria palmata, Saccharina latissima","R482, Milltown Malbay ED, West Clare Municipal District, County Clare, Munster, V95 R883, Ã‰ire / Ireland",
,Ireland,51.695575,-9.441906,Harvesting - Manual,,"Bantry Rural ED, West Cork, County Cork, Munster, P75 H304, Ã‰ire / Ireland",
,Ireland,53.287744,-6.715471,Harvesting - Manual,"Alaria esculenta, Chondrus crispus, Himanthalia elongata, Laminaria digitata, Palmaria palmata","L2002, Clane ED, The Municipal District of Clane Â— Maynooth, County Kildare, Leinster, W91 X253, Ã‰ire / Ireland",brown algae
ÃƒÂ‰ire / Ireland,Ireland,52.327458,-9.875051,Harvesting - n/a,Ascophyllum nodosum,ÃƒÂ‰ire / Ireland,"green algae, brown algae"
,Ireland,53.247812,-9.548089,Harvesting - Manual,"Chondrus crispus, Fucus serratus, Laminaria digitata, Palmaria palmata, Sargassum muticum","Cill ChuimÃ­n, Conamara Municipal District, County Galway, Connacht, H91 A2T6, Ã‰ire / Ireland",brown algae
The Promenade,Ireland,52.159132,-7.145882,Harvesting - Manual,"Chondrus crispus, Fucus sp., Palmaria palmata","The Promenade, Tramore, Waterford City Metropolitan District, County Waterford, Munster, X91 HF44, ÃƒÂ‰ire / Ireland",
,Ireland,55.000634,-8.4458,Harvesting - Manual,"Alaria esculenta, Chondrus crispus, Fucus serratus, Himanthalia elongata, Laminaria digitata, Palmaria palmata, Porphyra sp., Saccharina latissima, Ulva intestinalis","Rutland ED, Glenties Municipal District, County Donegal, Ulster, F94 HD91, Ã‰ire / Ireland","brown algae, green algae"
The Masterlift Group,Ireland,53.297921,-6.479218,Harvesting - Manual,"Ascophyllum nodosum, Chondrus crispus, Fucus serratus, Fucus vesiculosus","The Masterlift Group, Grants Road, Greenogue Business Park, Newcastle DED 1986, South Dublin, County Dublin, Leinster, D24 NX38, ÃƒÂ‰ire / Ireland","green algae, brown algae"
Curraghbinny Road,Ireland,51.812051,-8.318771,Harvesting - Manual,Lithothamnium calcareum,"Curraghbinny Road, Carrigaline ED, Municipal District of Carrigaline, County Cork, Munster, P43 AY66, ÃƒÂ‰ire / Ireland",
Conair DhÃƒÂºlra Cois Cladaigh Doire FhÃƒÂ­onÃƒÂ¡in / Derrynane Seashore Nature Trail,Ireland,51.761039,-10.121627,Harvesting - Manual,Fucus serratus,"Conair DhÃƒÂºlra Cois Cladaigh Doire FhÃƒÂ­onÃƒÂ¡in / Derrynane Seashore Nature Trail, Darrynane ED, Kenmare Municipal District, County Kerry, Munster, V93 DD83, ÃƒÂ‰ire / Ireland",brown algae
,Ireland,54.649041,-8.603343,Harvesting - Manual,"Alaria esculenta, Ascophyllum nodosum, Chondrus crispus, Fucus serratus, Himanthalia elongata, Laminaria digitata, Osmundea pinnatifida, Palmaria palmata, Porphyra umbilicalis, Saccharina latissima, Ulva sp., Ulva lactuca","Kilcar ED, Donegal Municipal District, County Donegal, Ulster, F94 A3NR, Ã‰ire / Ireland","green algae, brown algae, red algae"
Aiden Street,Ireland,53.85067,-8.998092,Harvesting - n/a,Ascophyllum nodosum,"Aiden Street, Kiltamagh ED, Claremorris-Swinford Municipal District, County Mayo, Connacht, F12 CH74, ÃƒÂ‰ire / Ireland","green algae, brown algae"
,Ireland,54.962226,-8.381103,Harvesting - Manual,Ascophyllum nodosum,"Dunglow ED, Glenties Municipal District, County Donegal, Ulster, F94 W974, Ã‰ire / Ireland","green algae, brown algae"
